line_cd,station_cd1,station_cd2
99305,9930518,9930519
99305,9930519,9930520
99305,9930520,9930521
99305,9930521,9930522
99305,9930522,9930523
99305,9930523,9930524
99305,9930524,9930525
99305,9930525,9930526
99305,9930526,9930527
99305,9930527,9930528
99305,9930528,9930529
99305,9930529,9930530
99309,9930901,9930902
99309,9930902,9930903
99309,9930903,9930904
99309,9930904,9930905
99309,9930905,9930906
99309,9930906,9930907
99311,9931101,9931102
99311,9931102,9931103
99311,9931103,9931104
99311,9931104,9931105
99311,9931105,9931106
99311,9931106,9931107
99311,9931107,9931108
99311,9931108,9931109
99311,9931109,9931110
99311,9931110,9931111
99311,9931111,9931112
99311,9931112,9931113
99311,9931113,9931114
99311,9931114,9931115
99311,9931115,9931116
99334,9933401,9933402
99334,9933402,9933403
99334,9933403,9933404
99334,9933404,9933405
99334,9933405,9933406
99334,9933406,9933407
99334,9933407,9933408
99334,9933408,9933409
99334,9933409,9933410
99334,9933410,9933411
99334,9933411,9933412
99334,9933412,9933413
99334,9933413,9933414
99334,9933414,9933415
99334,9933415,9933416
99334,9933416,9933417
99334,9933417,9933418
99334,9933418,9933419
99336,9933601,9933602
99336,9933602,9933603
99336,9933603,9933604
99336,9933604,9933605
99336,9933605,9933606
99336,9933606,9933607
99336,9933607,9933611
99336,9933608,9933609
99336,9933609,9933610
99336,9933611,9933608
99337,9933701,9933702
99337,9933702,9933703
99337,9933703,9933704
99337,9933704,9933705
99337,9933705,9933706
99337,9933706,9933707
99337,9933707,9933708
99340,9934001,9934002
99342,9934201,9934202
99342,9934202,9934203
99342,9934203,9934204
99342,9934204,9934205
99342,9934205,9934206
99342,9934206,9934207
99342,9934207,9934208
99342,9934208,9934209
99342,9934209,9934210
99342,9934210,9934211
99342,9934211,9934212
99342,9934212,9934213
