genre,store_name,business_hours,address,url,Cleaned_Address,Longitude,Latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ガソリンスタンド,セルフ＆カーケアステーション小金井 / コスモ石油販売(株),['0:00~23:59'],東京都小金井市中町2-11-5,N/A,東京都小金井市中町2-11-5,139.515503,35.69529,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,ルート16箱根ケ崎 / コスモ石油販売(株),['08:00~19:00'],東京都西多摩郡瑞穂町箱根ケ崎東松原6-14,N/A,東京都西多摩郡瑞穂町箱根ケ崎東松原6-14,139.338196,35.771004,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,セルフ＆カーケアステーション滝山 / コスモ石油販売(株),['0:00~23:59'],東京都東久留米市滝山1-1-21,N/A,東京都東久留米市滝山1-1-21,139.512131,35.747898,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション羽村 / コスモ石油販売(株),['0:00~23:59'],東京都羽村市羽西1-12-1,N/A,東京都羽村市羽西1-12-1,139.298019,35.77235,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,菊川SS / (株)ENEOSウイング,['08:00~19:00'],東京都墨田区菊川3-22-8,N/A,東京都墨田区菊川3-22-8,139.806915,35.690083,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,八王子ニュータウンSS / ネクサスエナジー(株),['06:00~22:00'],東京都八王子市小比企町1137-1,N/A,東京都八王子市小比企町1137-1,139.331314,35.643661,['06:00~22:00'],['06:00~22:00'],['06:00~22:00'],['06:00~22:00'],['06:00~22:00'],['06:00~22:00'],['06:00~22:00']
ガソリンスタンド,セルフ＆カーケアステーション伊奈平 / コスモ石油販売(株),['0:00~23:59'],東京都武蔵村山市伊奈平5-61-1,N/A,東京都武蔵村山市伊奈平5-61-1,139.376465,35.738316,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,板橋TS / (株)ENEOSウイング,['0:00~23:59'],東京都板橋区高島平6-1-1,N/A,東京都板橋区高島平6-1-1,139.649078,35.793266,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ堀之内 / 中央石油(株),"[['0:00~2:00','4:00~23:59']",東京都八王子市堀之内2-1-4,N/A,東京都八王子市堀之内2-1-4,139.396637,35.627522,[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59']
ガソリンスタンド,山崎団地SS / ネクサスエナジー(株),['0:00~23:59'],東京都町田市本町田3160,N/A,東京都町田市本町田3160,139.443161,35.565708,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,立川南SS / ネクサスエナジー(株),['0:00~23:59'],東京都立川市柴崎町6-17-11,N/A,東京都立川市柴崎町6-17-11,139.408844,35.687473,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,新木場TS / (株)ENEOSウイング,['08:00~20:00'],東京都江東区新砂1-13-18,N/A,東京都江東区新砂1-13-18,139.823914,35.657345,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,セルフ用賀 / 中央石油(株),"[['0:00~2:00','4:00~23:59']",東京都世田谷区上用賀6-26-11,N/A,東京都世田谷区上用賀6-26-11,139.624893,35.63818,[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59']
ガソリンスタンド,セルフ金井 / 中央石油(株),"[['0:00~2:00','4:00~23:59']",東京都町田市金井ヶ丘2-23-13,N/A,東京都町田市金井ヶ丘2-23-13,139.463898,35.573551,[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59'],[['0:00~2:00','4:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーションすずかけ通り / コスモ石油販売(株),['0:00~23:59'],東京都立川市柏町1-28-3,N/A,東京都立川市柏町1-28-3,139.411438,35.720268,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,八王子日吉町 / コスモ石油販売(株),['08:00~19:00'],東京都八王子市日吉町17-7,N/A,東京都八王子市日吉町17-7,139.312927,35.661831,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,神代SS / ネクサスエナジー(株),['08:00~20:00'],東京都調布市菊野台3-9-7,N/A,東京都調布市菊野台3-9-7,139.569595,35.6539,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,厩橋SS / (株)ENEOSウイング,['08:00~20:00'],東京都墨田区本所1-24-10,N/A,東京都墨田区本所1-24-10,139.798721,35.703781,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
