genre,store_name,business_hours,address,url
居酒屋,炭屋 串兵衛 分家,"営業時間
営業時間16時00分 OPEN23時00分料理オーダーLast23時15分ドリンクオーダーLast24時00分 close
日曜営業
定休日
無休",東京都町田市原町田6-11-6,https://tabelog.com/tokyo/A1327/A132701/13055490/
居酒屋,大衆食堂 てんぐ大ホール 町田旭町店,"営業時間
月～木曜日11：00～22：00金、土曜日11：00～23：00日曜日・祝日11：00～22：00
定休日
12月31日/1月1日",東京都町田市旭町1-2-3 スカイハイツビル 1F,https://tabelog.com/tokyo/A1327/A132701/13289641/
居酒屋,匠ダイニング 町田北口店,"営業時間
昼　11:30～14:00(フード・ドリンクL.O13:30)夜　16:00～24:00(フードL.O 23:00 ドリンクL.O23:30)※１　14:00～16:00店休※２　状況により閉店時間が早まる場合有り
日曜営業
定休日
12/24、1/1〜1/4年末年始休業",東京都町田市森野1-36-1,https://tabelog.com/tokyo/A1327/A132701/13168283/
居酒屋,肉豆冨とレモンサワー 大衆食堂 安べゑ 小田急町田南口店,"営業時間
【営業時間】月～木、日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）金、土: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）12/30～1/4は営業時間を変更する場合がございます。ご来店の際は店舗までお問い合わせください。
日曜営業
定休日
無休",東京都町田市原町田6-11-8 八百茂ビル1F,https://tabelog.com/tokyo/A1327/A132701/13262058/
居酒屋,中華酒場 三百楽 町田店,"営業時間
11:00～24:00（L.O.23:30）
日曜営業
定休日
無休",東京都町田市森野1-26-23 松本ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13245707/
居酒屋,大衆居酒屋もんじゃ酒場 だしや 町田店,"営業時間
[月～木・日・祝]12:00～24:00 [金～土・祝前日]12:00〜翌4:00（料理L.O.60分前、ドリンクL.O.30分前）※当日が祝日で翌日が土曜日または、祝日の場合は土曜営業時間【年末年始営業日の営業時間】※12/28〜1/2：土曜営業時間　※1/3：日曜営業時間  ※12月28日～1月3日：年末年始料金10％いただきます。
日曜営業
定休日
年始(1/1)、他無休！　町田に誕生した、種類豊富なもんじゃと今治焼鳥が自慢のもんじゃ焼き酒場。お酒との相性◎なおつまみも勢ぞろいしております！",東京都町田市原町田4-7-18 長岡ビル 1F・2F,https://tabelog.com/tokyo/A1327/A132701/13278620/
居酒屋,炭焼酒場 鳥KING,"営業時間
11：00～24：00
日曜営業
定休日
無休",東京都町田市原町田6-17-2,https://tabelog.com/tokyo/A1327/A132701/13263440/
居酒屋,隠れ房 町田店,"営業時間
【月～金】17:00～23:00【土・日・祝】12:00～14:3017:00～23:00上記営業時間外でのご予約ご希望のお問い合わせは直接店舗へご連絡ください
日曜営業
定休日
無し",東京都町田市原町田6-13-17 アーバンミサワビル 3F,https://tabelog.com/tokyo/A1327/A132701/13189654/
居酒屋,木村屋本店 町田駅前,"営業時間
[日～木]12:00～23：00（LO 22：00)[金・土・祝前日]12:00～23：00（LO 22：30)
日曜営業
定休日
不定休　12／31店休",東京都町田市原町田6-13-15,https://tabelog.com/tokyo/A1327/A132701/13101646/
居酒屋,めがね庵,"営業時間
【水〜日】18:00〜23:00※少人数貸切等随時ご相談ください！（飲み放題付コースございます）※月曜定休です。予約不可※夜の営業はかき氷の提供はしてません。詳しい営業時間は電話にてお問い合わせ下さい。
日曜営業
定休日
月・火",東京都町田市原町田3-6-12,https://tabelog.com/tokyo/A1327/A132701/13055566/
