store_name,address,business_hours,Cleaned_Address,Longitude,Latitude
Dr.Drive セルフ調布店 / (株)ENEOSフロンティア,東京都調布市上石原1-45-2,['0:00~23:59'],東京都調布市上石原1-45-2,139.532867,35.657509
Dr.Drive セルフ環七江北店 / (株)ENEOSフロンティア,東京都足立区江北6-4-10,['0:00~23:59'],東京都足立区江北6-4-10,139.766464,35.778717
Dr.Drive 白金店 / (株)ENEOSフロンティア,東京都港区白金台5-16-1,['08:00~20:00'],東京都港区白金台5-16-1,139.72319,35.637814
西新宿SS / 関東石油(株),東京都新宿区西新宿4-39-33,['0:00~23:59'],東京都新宿区西新宿4-39-33,139.685165,35.686382
Dr.Drive セルフ滝野川SS / (株)荒木,東京都北区滝野川7-50-10,['0:00~23:59'],東京都北区滝野川7-50-10,139.723999,35.739979
電化通りSS / (株)小高商事,東京都荒川区町屋4-36-8,['07:00~20:00'],東京都荒川区町屋4-36-8,139.776535,35.749294
Dr.Drive セルフ忠生店 / (株)ENEOSフロンティア,東京都町田市忠生1-21-5,['0:00~23:59'],東京都町田市忠生1-21-5,139.421295,35.577118
Dr.Drive セルフカートピア青梅インターSS / (株)泰正社,東京都青梅市今井3-1-5,['0:00~23:59'],東京都青梅市今井3-1-5,139.309189,35.794823
Dr.Drive セルフ八王子堀之内店 / (株)ENEOSフロンティア,東京都八王子市堀之内3-31-1,['0:00~23:59'],東京都八王子市堀之内3-31-1,139.402664,35.627193
初台SS / ヤジマ石油(株),東京都渋谷区代々木4-58-6,['07:00~21:00'],東京都渋谷区代々木4-58-6,139.688812,35.678875
セルフ春江町SS / (株)ナガイ,東京都江戸川区春江町4-16-4,['0:00~23:59'],東京都江戸川区春江町4-16-4,139.87854,35.682194
セルフ雪が谷SS / 関東礦油(株),東京都大田区南雪谷2-1-8,['0:00~23:59'],東京都大田区南雪谷2-1-8,139.681015,35.592537
セルフ田園調布SS / 昭和礦油(株),東京都世田谷区尾山台3-3-3,['0:00~23:59'],東京都世田谷区尾山台3-3-3,139.655838,35.602642
本天沼SS / 出光リテール販売(株),東京都杉並区本天沼2-47-12,['02:00~25:00'],東京都杉並区本天沼2-47-12,139.624802,35.71722
セルフ石神井台SS / (株)吉田商店,東京都練馬区石神井台3-33-2,['06:00~22:00'],東京都練馬区石神井台3-33-2,139.588531,35.739265
亀戸SS / 共栄石油(株),東京都江東区亀戸6-9-1,['07:00~21:00'],東京都江東区亀戸6-9-1,139.827621,35.694672
宇喜田第二SS / 共栄石油(株),東京都江戸川区西葛西4-2-1,['07:00~23:00'],東京都江戸川区西葛西4-2-1,139.864563,35.665611
西葛西SS / 共栄石油(株),東京都江戸川区西葛西3-7-29,['0:00~23:59'],東京都江戸川区西葛西3-7-29,139.855179,35.666828
ニュー和泉町SS / 安藤石油(株),東京都杉並区和泉3-58-21,['08:00~21:00'],東京都杉並区和泉3-58-21,139.644882,35.682121
亀戸SS / (株)長谷川,東京都江東区亀戸4-19-11,['07:00~22:00'],東京都江東区亀戸4-19-11,139.826233,35.701885
常盤台SS / ババウチ石油(株),東京都板橋区常盤台1-54,['0:00~23:59'],東京都板橋区常盤台1-54,139.693344,35.75835
大塚SS / 山文商事(株),東京都文京区大塚3-28-6,['08:00~21:00'],東京都文京区大塚3-28-6,139.736221,35.722553
Dr.Drive セルフカートピア青梅SS / (株)泰正社,東京都青梅市藤橋3-1-1,['07:00~22:00'],東京都青梅市藤橋3-1-1,139.306793,35.794254
Dr.Drive セルフ羽店 / (株)ENEOSフロンティア,東京都羽村市羽加美1-29-9,['0:00~23:59'],東京都羽村市羽加美1-29-9,139.307465,35.768253
Dr.Drive セルフ東神田SS / 隅田商事(株),東京都千代田区東神田1-16-9,['0:00~23:59'],東京都千代田区東神田1-16-9,139.782516,35.695015
Dr.Drive セルフ秋川店 / (株)ENEOSフロンティア,東京都あきる野市秋川6-16-3,['0:00~23:59'],東京都あきる野市秋川6-16-3,139.29007,35.73103
Dr.Drive セルフ環八砧SS / 日新商事(株),東京都世田谷区砧2-1-2,['0:00~23:59'],東京都世田谷区砧2-1-2,139.618973,35.640739
Dr.Drive セルフ潮見公園店 / (株)ENEOSフロンティア,東京都江東区潮見1-3-2,['0:00~23:59'],東京都江東区潮見1-3-2,139.81102,35.656231
Dr.Drive セルフ上井草店 / (株)ENEOSフロンティア,東京都杉並区上井草2-6-1,['0:00~23:59'],東京都杉並区上井草2-6-1,139.607956,35.719368
セルフNEW江東SS / (株)新出光,東京都江東区南砂2-31-13,['0:00~23:59'],東京都江東区南砂2-31-13,139.822922,35.675674
セルフ池上SS / 昭和礦油(株),東京都大田区仲池上2-7-6,['0:00~23:59'],東京都大田区仲池上2-7-6,139.702774,35.582939
環七豊玉陸橋SS / (株)東日本宇佐美,東京都練馬区豊玉北3-15-1,['0:00~23:59'],東京都練馬区豊玉北3-15-1,139.660614,35.73254
明治通り新木場SS / (株)東日本宇佐美,東京都江東区新砂1-10-25,['0:00~23:59'],東京都江東区新砂1-10-25,139.823639,35.664055
セルフ清水橋SS / (株)共栄オーメック,東京都渋谷区本町3-35-18,['0:00~23:59'],東京都渋谷区本町3-35-18,139.681641,35.689747
セルフR254中板橋SS / (株)共栄オーメック,東京都板橋区弥生町82-4,['07:00~23:00'],東京都板橋区弥生町82-4,139.690491,35.753647
セルフ東砂SS / 山村産業(株),東京都江東区東砂2-16-4,['06:00~22:00'],東京都江東区東砂2-16-4,139.844742,35.682495
