新池上SS / モービルオート(株),東京都大田区池上3-21-17,07:30 - 21:00
Dr.Drive セルフ調布店 / (株)ENEOSフロンティア,東京都調布市上石原1-45-2,24時間営業
Dr.Drive セルフ環七江北店 / (株)ENEOSフロンティア,東京都足立区江北6-4-10,24時間営業
Dr.Drive 白金店 / (株)ENEOSフロンティア,東京都港区白金台5-16-1,08:00 - 20:00
西新宿SS / 関東石油(株),東京都新宿区西新宿4-39-33,24時間営業
Dr.Drive セルフ滝野川SS / (株)荒木,東京都北区滝野川7-50-10,24時間営業
電化通りSS / (株)小高商事,東京都荒川区町屋4-36-8,07:00 - 20:00
Dr.Drive セルフ忠生店 / (株)ENEOSフロンティア,東京都町田市忠生1-21-5,24時間営業
Dr.Drive セルフカートピア青梅インターSS / (株)泰正社,東京都青梅市今井3-1-5,24時間営業
Dr.Drive セルフ八王子堀之内店 / (株)ENEOSフロンティア,東京都八王子市堀之内3-31-1,24時間営業
初台SS / ヤジマ石油(株),東京都渋谷区代々木4-58-6,07:00 - 21:00
セルフ春江町SS / (株)ナガイ,東京都江戸川区春江町4-16-4,24時間営業
セルフ雪が谷SS / 関東礦油(株),東京都大田区南雪谷2-1-8,24時間営業
セルフ田園調布SS / 昭和礦油(株),東京都世田谷区尾山台3-3-3,24時間営業
本天沼SS / 出光リテール販売(株),東京都杉並区本天沼2-47-12,02:00 - 25:00
セルフ石神井台SS / (株)吉田商店,東京都練馬区石神井台3-33-2,06:00 - 22:00
亀戸SS / 共栄石油(株),東京都江東区亀戸6-9-1,07:00 - 21:00
宇喜田第二SS / 共栄石油(株),東京都江戸川区西葛西4-2-1,07:00 - 23:00
西葛西SS / 共栄石油(株),東京都江戸川区西葛西3-7-29,24時間営業
ニュー和泉町SS / 安藤石油(株),東京都杉並区和泉3-58-21,08:00 - 21:00
亀戸SS / (株)長谷川,東京都江東区亀戸4-19-11,07:00 - 22:00
常盤台SS / ババウチ石油(株),東京都板橋区常盤台1-54,24時間営業
大塚SS / 山文商事(株),東京都文京区大塚3-28-6,08:00 - 21:00
Dr.Drive セルフカートピア青梅SS / (株)泰正社,東京都青梅市藤橋3-1-1,07:00 - 22:00
Dr.Drive セルフ羽店 / (株)ENEOSフロンティア,東京都羽村市羽加美1-29-9,24時間営業
Dr.Drive セルフ東神田SS / 隅田商事(株),東京都千代田区東神田1-16-9,24時間営業
Dr.Drive セルフ秋川店 / (株)ENEOSフロンティア,東京都あきる野市秋川6-16-3,24時間営業
Dr.Drive セルフ環八砧SS / 日新商事(株),東京都世田谷区砧2-1-2,24時間営業
Dr.Drive セルフ潮見公園店 / (株)ENEOSフロンティア,東京都江東区潮見1-3-2,24時間営業
Dr.Drive セルフ上井草店 / (株)ENEOSフロンティア,東京都杉並区上井草2-6-1,24時間営業
セルフNEW江東SS / (株)新出光,東京都江東区南砂2-31-13,24時間営業
セルフ池上SS / 昭和礦油(株),東京都大田区仲池上2-7-6,24時間営業
環七豊玉陸橋SS / (株)東日本宇佐美,東京都練馬区豊玉北3-15-1,24時間営業
明治通り新木場SS / (株)東日本宇佐美,東京都江東区新砂1-10-25,24時間営業
セルフ清水橋SS / (株)共栄オーメック,東京都渋谷区本町3-35-18,24時間営業
セルフR254中板橋SS / (株)共栄オーメック,東京都板橋区弥生町82-4,07:00 - 23:00
セルフ東砂SS / 山村産業(株),東京都江東区東砂2-16-4,06:00 - 22:00
中丸SS / (有)ペトロベスト,東京都板橋区中丸町43-1,07:00 - 21:00
新板橋SS / (有)ペトロベスト,東京都板橋区板橋2-41-7,07:00 - 20:00
天現寺SS / (株)千代田エネルギー,東京都港区南麻布4-13-4,08:00 - 20:00
Dr.Drive 松月院通り店 / 川端石油(株),東京都板橋区赤塚5-2-6,08:00 - 20:00
環七一之江SS / 共栄石油(株),東京都江戸川区一之江1-3-7,24時間営業
環七瑞江SS / 共栄石油(株),東京都江戸川区西瑞江5-1-1,24時間営業
Dr.Drive WE’LLヌクイSS / (株)松勇,東京都練馬区貫井4-16-4,07:00 - 21:00
南田中SS / (株)井口鉱油,東京都練馬区南田中4-13-26,24時間営業
EneJet真中SS / 関東燃料(株),東京都世田谷区駒沢1-13-14,24時間営業
大井町SS / (株)リブエナジーシステムズ,東京都品川区東大井2-1-10,24時間営業
城北SS / 城北石油(株),東京都北区神谷3-29-20,07:00 - 20:00
